GEOID,income,ba_rate,pop,pop_density
06037108102,129938.66666666667,0.5969879259120153,3525.0,1614.1462402756276
06037108103,152229.33333333334,0.5733809442008325,3073.3333333333335,1198.2128694040243
06037108104,146364.0,0.6401194918362101,1738.3333333333333,2104.4688183498383
06037108202,177488.66666666666,0.6128281680133157,10234.666666666666,1712.5967672393356
06037108203,143055.66666666666,0.6206087034390753,3133.6666666666665,2283.3811820827077
06037108204,175383.0,0.7428794030617424,1803.6666666666667,1258.922212752968
06037109100,74784.66666666667,0.18070345585943234,2773.0,1024.7957707310493
06037109200,121155.33333333333,0.4480370273763635,3039.3333333333335,2988.6987982926594
06037109300,118560.33333333333,0.28157318611485294,2975.0,2412.6440389039863
06037109400,91790.66666666667,0.30104224775526695,3821.6666666666665,2960.622812780181
06037109500,79416.33333333333,0.10308765806298237,3819.3333333333335,3197.3978795821677
06037109601,117375.33333333333,0.1635721962126553,5004.666666666667,2259.8390447927977
06037109603,81477.0,0.2032981488185118,4002.0,4006.431112810769
06037109604,105008.33333333333,0.22599341153214234,2891.0,2460.6873071603363
06037109700,112594.33333333333,0.3299923912565756,4198.0,2645.474304302645
06037109800,76943.66666666667,0.24053794840380502,4551.0,3252.0941027836097
06037111100,111862.0,0.3019066955694217,3010.0,2841.6466445439914
06037111201,116017.66666666667,0.4059067284248514,3178.6666666666665,1661.7820451559994
06037111202,109817.66666666667,0.32131386605298573,5819.333333333333,3117.457691645613
06037111204,178502.33333333334,0.5494751559361882,5925.333333333333,1798.4521534936825
06037111205,108205.66666666667,0.4427186705967145,3827.0,3353.1320285879256
06037111206,152282.33333333334,0.4905466224510648,4278.333333333333,1638.459253426818
06037111302,96296.66666666667,0.47797642120323786,4913.333333333333,3164.1785790262184
06037111303,103990.66666666667,0.39187408501486193,4567.666666666667,2920.6766557516958
06037111304,49805.666666666664,0.3420846685106926,3045.3333333333335,6961.684825264454
06037111401,133448.0,0.4035404353255725,2257.6666666666665,2685.141135426578
06037111402,58076.666666666664,0.26132203154032807,6010.666666666667,6188.7160267564495
06037113101,129189.33333333333,0.5114343619072775,3577.0,1579.0660951951274
06037113102,198689.66666666666,0.528129732546811,2828.6666666666665,774.1527492959324
06037113211,114755.66666666667,0.5050001875341117,4183.666666666667,574.618946969003
06037113212,91111.66666666667,0.36546471987062706,2843.0,2847.1283360873263
06037113213,127364.0,0.44595808670057124,5052.333333333333,3883.9185732640235
06037113231,127534.33333333333,0.5581300094685283,2233.0,540.355453706202
06037113232,158857.0,0.4290895613666523,4818.333333333333,2332.4150507975955
06037113234,69875.0,0.2169631947491508,5568.0,5496.566620203831
06037113235,91792.0,0.2591063755963507,1742.6666666666667,1221.4265505143285
06037113237,142707.0,0.4474848766247354,4741.333333333333,1001.0787778055542
06037113238,67318.66666666667,0.2250515827148064,4438.0,6253.469844410062
06037113239,50934.0,0.23508071506200987,2156.6666666666665,4966.394320962636
06037113301,128671.66666666667,0.4580618413629222,4461.666666666667,1979.156824483168
06037113303,112951.0,0.4377965427130048,3861.6666666666665,944.5073980162329
06037113322,120633.33333333333,0.46790918319333014,4754.666666666667,2660.973109508632
06037113323,91509.0,0.37300022451840026,3646.3333333333335,5037.03990216014
06037113324,101079.0,0.3695772030314623,2872.6666666666665,8853.657809926823
06037113423,96528.33333333333,0.3504635251367349,2887.0,4062.340820122869
06037113424,107253.66666666667,0.3410595089221575,3182.6666666666665,1827.9306190439816
06037113425,70070.33333333333,0.19100265178598982,4158.666666666667,12417.155101971755
06037113426,73133.66666666667,0.3209759120483143,2264.3333333333335,1216.1451367979776
06037113427,63295.333333333336,0.2164482647672906,2382.6666666666665,9453.1508298618
06037113428,123998.0,0.3807500718373749,4159.666666666667,3274.059708102583
06037115101,146248.66666666666,0.5736915854525264,4907.333333333333,1264.0006401568246
06037115103,,0.6335815641484437,2659.3333333333335,1751.1097531852727
